index,winery,wine,year,rating,num_reviews,region,type,body,acidity,price
52,Vega Sicilia,Unico,2004,4.7,3164,Ribera del Duero,Ribera Del Duero Red,5,3,584.43
53,Vega Sicilia,Unico,2000,4.7,3127,Ribera del Duero,Ribera Del Duero Red,5,3,555.2
54,Vega Sicilia,Unico,2007,4.7,2935,Ribera del Duero,Ribera Del Duero Red,5,3,445.28
55,Vega Sicilia,Valbuena 5o,2015,4.7,2826,Ribera del Duero,Ribera Del Duero Red,5,3,189
56,Vega Sicilia,Unico,2006,4.7,2765,Ribera del Duero,Ribera Del Duero Red,5,3,362.25
57,Vega Sicilia,Unico,2008,4.7,2480,Ribera del Duero,Ribera Del Duero Red,5,3,289
58,Vega Sicilia,Unico,2003,4.7,2419,Ribera del Duero,Ribera Del Duero Red,5,3,325
59,Vega Sicilia,Valbuena 5o,2016,4.7,2177,Ribera del Duero,Ribera Del Duero Red,5,3,107.57
60,Vega Sicilia,Valbuena 5o,2005,4.7,1892,Ribera del Duero,Ribera Del Duero Red,5,3,234
61,Vega Sicilia,Unico,2002,4.7,1199,Ribera del Duero,Ribera Del Duero Red,5,3,500.94
62,Vega Sicilia,Unico,1991,4.7,1141,Ribera del Duero,Ribera Del Duero Red,5,3,698.9
63,Vega Sicilia,Unico,1994,4.7,940,Ribera del Duero,Ribera Del Duero Red,5,3,872.47
64,Vega Sicilia,Unico Reserva Especial Edicion,2000,4.7,935,Ribera del Duero,Ribera Del Duero Red,5,3,877.85
65,Vega Sicilia,Unico,1990,4.7,690,Ribera del Duero,Ribera Del Duero Red,5,3,827.94
66,Pago de Carraovejas,Cuesta de Las Liebres,2014,4.7,685,Ribera del Duero,Ribera Del Duero Red,5,3,113.18
67,Vega Sicilia,Unico,1989,4.7,675,Ribera del Duero,Ribera Del Duero Red,5,3,679.72
68,Vega Sicilia,Unico,1987,4.7,593,Ribera del Duero,Ribera Del Duero Red,5,3,787.59
69,Vega Sicilia,Unico Reserva Especial Edicion,2017,4.7,560,Ribera del Duero,Ribera Del Duero Red,5,3,480.06
70,Pago de Carraovejas,El Anejon,2015,4.7,543,Ribera del Duero,Ribera Del Duero Red,5,3,75.1
71,Bodegas El Nido,El Nido,2014,4.7,511,Jumilla,Red,4,3,154.9
72,Bodegas El Nido,El Nido,2013,4.7,476,Jumilla,Red,4,3,145
73,Vega Sicilia,Unico Reserva Especial Edicion,1996,4.7,442,Ribera del Duero,Ribera Del Duero Red,5,3,290
74,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986,4.7,425,Rioja,Rioja White,3,3,795
75,Bodegas El Nido,El Nido,2016,4.7,393,Jumilla,Red,4,3,371.7800975
76,Bodegas El Nido,El Nido,2008,4.7,347,Jumilla,Red,4,3,134.19
77,Vinedos de Paganos,La Nieta,2015,4.7,312,Rioja,Rioja Red,4,3,82.58
78,Vega Sicilia,Unico,1981,4.7,308,Ribera del Duero,Ribera Del Duero Red,5,3,873.86
79,Vega Sicilia,Unico Reserva Especial Edicion,2007,4.7,303,Ribera del Duero,Ribera Del Duero Red,5,3,774.4
80,Emilio Moro,Malleolus de Valderramiro,2016,4.7,300,Ribera del Duero,Ribera Del Duero Red,5,3,84.95
81,Dominio de Pingus,Pingus,2001,4.7,295,Ribera del Duero,Ribera Del Duero Red,5,3,940
82,Vega Sicilia,Unico,1986,4.7,292,Ribera del Duero,Ribera Del Duero Red,5,3,812.63
83,Emilio Moro,Malleolus de Sanchomartin,2016,4.7,291,Ribera del Duero,Ribera Del Duero Red,5,3,116.54
84,Dominio de Pingus,Pingus,2004,4.7,285,Ribera del Duero,Ribera Del Duero Red,5,3,1500
85,Dominio de Pingus,Pingus,2006,4.7,280,Ribera del Duero,Ribera Del Duero Red,5,3,1190
86,Bodegas El Nido,El Nido,2017,4.7,268,Jumilla,Red,4,3,154.85
87,Teso La Monja,Alabaster,2016,4.7,264,Toro,Toro Red,5,3,135
88,Quinta de la Quietud,La Mula de la Quietud,2015,4.7,256,Toro,Toro Red,5,3,63.75
89,Vega Sicilia,Unico,1985,4.7,254,Ribera del Duero,Ribera Del Duero Red,5,3,827.94
90,Bodegas Mauro,Terreus Paraje de Cueva Baja,2017,4.7,251,Castilla y Leon,Tempranillo,4,2,66.07
91,Bodega Contador (Benjamin Romeo),Contador Rioja,2012,4.7,243,Rioja,Rioja Red,4,3,213.9
92,Remirez de Ganuza,Maria Remirez de Ganuza,2006,4.7,240,Rioja,Rioja Red,4,3,234.9
93,Vega Sicilia,Unico,1968,4.7,225,Ribera del Duero,Ribera Del Duero Red,5,3,2087.25
94,Vinedos de Paganos,La Nieta,2018,4.7,220,Rioja,Rioja Red,4,3,89.9
95,Vega Sicilia,Unico,1964,4.7,214,Ribera del Duero,Ribera Del Duero Red,5,3,1384.54
96,Vega Sicilia,Unico,1982,4.7,205,Ribera del Duero,Ribera Del Duero Red,5,3,820.98
97,Dominio de Pingus,Pingus,2015,4.7,203,Ribera del Duero,Ribera Del Duero Red,5,3,1250
98,Vega Sicilia,Unico Reserva Especial Edicion,1995,4.7,196,Ribera del Duero,Ribera Del Duero Red,5,3,1500
99,Dominio de Pingus,Pingus,1999,4.7,184,Ribera del Duero,Ribera Del Duero Red,5,3,1715.18
100,Vega Sicilia,Unico,1974,4.7,173,Ribera del Duero,Ribera Del Duero Red,5,3,932.3
101,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1998,4.7,171,Priorato,Priorat Red,4,3,1372.14
102,Bodegas San Roman,Cartago Paraje de Pozo,2015,4.7,137,Toro,Toro Red,5,3,78.9
103,Vega Sicilia,Unico Reserva Especial Edicion,2012,4.7,136,Ribera del Duero,Ribera Del Duero Red,5,3,660.96
104,Pago de Los Capellanes,Parcela El Picon Tinto,2009,4.7,134,Ribera del Duero,Ribera Del Duero Red,5,3,154
105,Vega Sicilia,Valbuena 5o,2017,4.7,133,Ribera del Duero,Ribera Del Duero Red,5,3,134.89
106,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2000,4.7,132,Priorato,Priorat Red,4,3,1422.96
107,Bodega Numanthia,Termanthia,2005,4.7,131,Toro,Toro Red,5,3,207.11
108,Vega Sicilia,Unico Reserva Especial Edicion,2011,4.7,131,Ribera del Duero,Ribera Del Duero Red,5,3,340.49
109,Emilio Moro,Clon De La Familia,2010,4.7,127,Ribera del Duero,Ribera Del Duero Red,5,3,317.63
110,Alto Moncayo,Aquilon Garnacha,2011,4.7,123,Campo de Borja,Grenache,5,3,108.9
111,Vega Sicilia,Unico,1983,4.7,118,Ribera del Duero,Ribera Del Duero Red,5,3,700
112,Toro Albala,Don PX Convento Seleccion,1955,4.7,117,Montilla-Moriles,Pedro Ximenez,5,1,185
113,Vega Sicilia,Unico,1980,4.7,116,Ribera del Duero,Ribera Del Duero Red,5,3,911.43
114,Bodega Contador (Benjamin Romeo),Contador Rioja,2005,4.7,112,Rioja,Rioja Red,4,3,1150
115,Vega Sicilia,Unico,1972,4.7,110,Ribera del Duero,Ribera Del Duero Red,5,3,698.95
116,Bodega Numanthia,Termanthia,2004,4.7,108,Toro,Toro Red,5,3,2814.16
117,Teso La Monja,Tinto,2010,4.7,102,Toro,Toro Red,5,3,1325
118,Alvaro Palacios,Quinon de Valmira,2015,4.7,102,Rioja,Rioja Red,4,3,527.26
119,Vega Sicilia,Unico Reserva Especial Edicion,1987,4.7,100,Ribera del Duero,Ribera Del Duero Red,5,3,1071.45
120,Mas Doix,1902 Centenary Carignan Priorat,2015,4.7,94,Priorato,Priorat Red,4,3,299
121,Finca Moncloa,Tintilla de Rota,2016,4.7,92,Cadiz,NA,NA,NA,43.13
122,Vega Sicilia,Unico,1953,4.7,89,Ribera del Duero,Ribera Del Duero Red,5,3,1207.6
123,Bodegas Roda,Cirsion Rioja,2000,4.7,87,Rioja,Rioja Red,4,3,175
124,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2015,4.7,82,Priorato,Priorat Red,4,3,1252.35
125,Bodegas El Nido,El Nido,2019,4.7,80,Jumilla,Red,4,3,145.9
126,Mas Doix,1902 Centenary Carignan Priorat,2013,4.7,74,Priorato,Priorat Red,4,3,447.95
127,Vega Sicilia,Unico Reserva Especial Edicion,2006,4.7,72,Ribera del Duero,Ribera Del Duero Red,5,3,813.96
128,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2005,4.7,67,Priorato,Priorat Red,4,3,1410.26
129,Martinet,Cami Pesseroles,2006,4.7,65,Priorato,Priorat Red,4,3,182.9
130,Recaredo,Turo d'en Mota,2007,4.7,64,Cava,Cava,2,3,99
131,Vega Sicilia,Unico Reserva Especial Edicion,1986,4.7,63,Ribera del Duero,Ribera Del Duero Red,5,3,1113.2
132,Clos Erasmus,Priorat,2007,4.7,60,Priorato,Priorat Red,4,3,654.31
133,Pago de Los Capellanes,Parcela El Picon Tinto,2016,4.7,59,Ribera del Duero,Ribera Del Duero Red,5,3,134.26
134,Barbadillo,Reliquia Palo Cortado Sherry,N.V.,4.7,58,Jerez Palo Cortado,Sherry,4,3,380
135,La Rioja Alta,Gran Reserva 890,1982,4.7,57,Rioja,Rioja Red,4,3,292.09
136,Gonzalez-Byass,Anada Palo Cortado 1987,1987,4.7,53,Jerez Palo Cortado,Sherry,4,3,400.85
137,Clos Erasmus,Daphne Glorian Red,2007,4.7,51,Priorato,Red,4,3,202.01
138,Toro Albala,Don PX Pedro Ximenez,1955,4.7,50,Montilla-Moriles,Pedro Ximenez,5,1,250
139,Vinedos de Paganos,La Nieta,2019,4.7,49,Rioja,Rioja Red,4,3,88.9
140,Bodegas Amaren,El Regollar,2016,4.7,49,Rioja,Rioja Red,4,3,77.9
141,Toro Albala,Don PX Convento Seleccion,1958,4.7,47,Montilla-Moriles,Pedro Ximenez,5,1,191.61
142,Teso La Monja,Alabaster,2018,4.7,45,Toro,Toro Red,5,3,123.89
143,Alvear,Abuelo Diego Palo Cortado,N.V.,4.7,42,Montilla-Moriles,Pedro Ximenez,5,1,114.28
144,Equipo Navazos,La Bota 78 de Oloroso,N.V.,4.7,41,Manzanilla,Sherry,4,3,95.57
145,Morca,Touran,2018,4.7,41,Campo de Borja,Grenache,5,3,93.95
146,Territorio Luthier,Luthier Gran Reserva,2012,4.7,40,Ribera del Duero,Ribera Del Duero Red,5,3,248
147,Artadi,Vina El Pison,1995,4.7,39,Vino de Espana,Tempranillo,4,2,397
148,Rafael Palacios,Sorte O Soro Val do Bibei,2019,4.7,37,Valdeorras,NA,NA,NA,194.86
149,Recaredo,Reserva Particular de Recaredo Brut Nature,2011,4.7,35,Cava,Cava,2,3,65.05
150,Bodegas Mauro,Terreus Paraje de Cueva Baja,2019,4.7,33,Castilla y Leon,Tempranillo,4,2,86.9
151,Vina Sastre,Pesus Ribera del Duero,2004,4.7,32,Ribera del Duero,Ribera Del Duero Red,5,3,472.5
152,Terra Remota,Usted,2010,4.7,31,Emporda,Red,4,3,379
153,Dehesa de Los Canonigos,Gran Reserva,2001,4.7,31,Ribera del Duero,Ribera Del Duero Red,5,3,185.15
154,Vina Sastre,Regina Vides Ribera del Duero,1998,4.7,30,Ribera del Duero,Ribera Del Duero Red,5,3,94.2
155,Miguel Merino,La Loma,2018,4.7,29,Rioja Alta,Rioja Red,4,3,46
156,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2016,4.7,28,Priorato,Priorat Red,4,3,919.6
157,Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987,4.7,27,Alicante,NA,NA,NA,81.9
158,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1942,4.7,27,Rioja,Rioja Red,4,3,680
159,Vega Sicilia,Valbuena 5o,2011,4.6,6803,Ribera del Duero,Ribera Del Duero Red,5,3,218
160,Vega Sicilia,Valbuena 5o,2012,4.6,5938,Ribera del Duero,Ribera Del Duero Red,5,3,177
161,Vega Sicilia,Valbuena 5o,2008,4.6,5545,Ribera del Duero,Ribera Del Duero Red,5,3,187.3
162,Vega Sicilia,Valbuena 5o,2007,4.6,5116,Ribera del Duero,Ribera Del Duero Red,5,3,195.59
163,Vega Sicilia,Valbuena 5o,2013,4.6,4747,Ribera del Duero,Ribera Del Duero Red,5,3,135
164,Vega Sicilia,Valbuena 5o,2009,4.6,4685,Ribera del Duero,Ribera Del Duero Red,5,3,225.2
165,Alion,Ribera del Duero,2016,4.6,4516,Ribera del Duero,Ribera Del Duero Red,5,3,79.8
166,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017,4.6,3383,Ribera del Duero,Ribera Del Duero Red,5,3,116.1879436
167,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018,4.6,3239,Ribera del Duero,Ribera Del Duero Red,5,3,89.3
168,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010,4.6,2416,Rioja,Rioja Red,4,3,438.9
169,Alion,Ribera del Duero,2017,4.6,2208,Ribera del Duero,Ribera Del Duero Red,5,3,79.9
170,Vega Sicilia,Valbuena 5o,2004,4.6,1608,Ribera del Duero,Ribera Del Duero Red,5,3,249
171,Dominio de Pingus,Flor de Pingus,2018,4.6,1363,Ribera del Duero,Ribera Del Duero Red,5,3,129.95
172,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,4.6,1108,Ribera del Duero,Ribera Del Duero Red,5,3,76.95
173,Vega Sicilia,Valbuena 5o,2000,4.6,1015,Ribera del Duero,Ribera Del Duero Red,5,3,252
174,Vega Sicilia,Valbuena 5o,2002,4.6,936,Ribera del Duero,Ribera Del Duero Red,5,3,232
175,Bodega Numanthia,Termanthia,2012,4.6,840,Toro,Toro Red,5,3,214
176,Bodega Numanthia,Termanthia,2011,4.6,790,Toro,Toro Red,5,3,205
177,Carmelo Rodero,Pago De Valtarrena,2015,4.6,700,Ribera del Duero,Ribera Del Duero Red,5,3,49.95
178,Emilio Moro,Malleolus de Sanchomartin,2011,4.6,693,Ribera del Duero,Ribera Del Duero Red,5,3,125
179,Vega Sicilia,Valbuena 5o,1999,4.6,595,Ribera del Duero,Ribera Del Duero Red,5,3,276.8
180,Emilio Moro,Malleolus de Valderramiro,2015,4.6,516,Ribera del Duero,Ribera Del Duero Red,5,3,75
181,Dominio de Pingus,Pingus,2010,4.6,410,Ribera del Duero,Ribera Del Duero Red,5,3,1359.75
182,Pago de Carraovejas,Cuesta de Las Liebres,2010,4.6,405,Ribera del Duero,Ribera Del Duero Red,5,3,81.5
183,Dominio de Pingus,Pingus,2012,4.6,400,Ribera del Duero,Ribera Del Duero Red,5,3,890
184,Dominio del Bendito,El Titan del Bendito,2015,4.6,388,Toro,Toro Red,5,3,43.5
185,Emilio Moro,Malleolus de Sanchomartin,2015,4.6,369,Ribera del Duero,Ribera Del Duero Red,5,3,99
186,Dominio de Pingus,Pingus,2013,4.6,323,Ribera del Duero,Ribera Del Duero Red,5,3,1198.72
187,Bodegas Mauro,Terreus Paraje de Cueva Baja,2015,4.6,313,Castilla y Leon,Tempranillo,4,2,94.95
188,Bodegas Mauro,Terreus Paraje de Cueva Baja,2016,4.6,304,Castilla y Leon,Tempranillo,4,2,89
189,Dominio de Pingus,Pingus,2005,4.6,293,Ribera del Duero,Ribera Del Duero Red,5,3,1785.96
190,Vinedos de Paganos,La Nieta,2017,4.6,286,Rioja,Rioja Red,4,3,108.21
191,Artadi,Vina El Pison,2006,4.6,274,Vino de Espana,Tempranillo,4,2,391.5
192,Dominio de Pingus,Pingus,1998,4.6,244,Ribera del Duero,Ribera Del Duero Red,5,3,1350
193,Bodegas Roda,Cirsion Rioja,2007,4.6,242,Rioja,Rioja Red,4,3,145
194,Bodegas Roda,Cirsion Rioja,2012,4.6,231,Rioja,Rioja Red,4,3,173.38
195,Bodega Contador (Benjamin Romeo),Contador Rioja,2011,4.6,225,Rioja,Rioja Red,4,3,220
196,Marques de Murrieta,Dalmau Rioja,2017,4.6,222,Rioja,Rioja Red,4,3,85.7
197,Vega Sicilia,Unico,1965,4.6,218,Ribera del Duero,Ribera Del Duero Red,5,3,2884.04
198,Sierra Cantabria,Finca el Bosque,2015,4.6,214,Rioja,Rioja Red,4,3,79.9
199,Vina Sastre,Pago de Santa Cruz,2018,4.6,211,Ribera del Duero,Ribera Del Duero Red,5,3,68.7
200,Dominio de Pingus,Pingus,2003,4.6,205,Ribera del Duero,Ribera Del Duero Red,5,3,1638.95
201,Mas d'en Gil,Clos Fonta Priorat,2004,4.6,202,Priorato,Priorat Red,4,3,150
202,Carmelo Rodero,Pago De Valtarrena,2016,4.6,200,Ribera del Duero,Ribera Del Duero Red,5,3,48.95
203,Pago de Los Capellanes,Parcela El Picon Tinto,2014,4.6,197,Ribera del Duero,Ribera Del Duero Red,5,3,109.41
204,Emilio Moro,Malleolus de Sanchomartin,2014,4.6,186,Ribera del Duero,Ribera Del Duero Red,5,3,119
205,Vega Sicilia,Valbuena 5o,1992,4.6,176,Ribera del Duero,Ribera Del Duero Red,5,3,195
206,Dominio de Pingus,Pingus,2014,4.6,172,Ribera del Duero,Ribera Del Duero Red,5,3,1595
207,Artadi,Vina El Pison,2010,4.6,169,Vino de Espana,Tempranillo,4,2,519.55
208,Pago de Los Capellanes,Parcela El Picon Tinto,2012,4.6,165,Ribera del Duero,Ribera Del Duero Red,5,3,89
209,Artadi,Vina El Pison,2011,4.6,165,Vino de Espana,Tempranillo,4,2,511.9
210,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1999,4.6,164,Priorato,Priorat Red,4,3,980
211,Casa Castillo,Cuvee N Vinas Viejas,2015,4.6,160,Jumilla,Red,4,3,73
212,Artadi,Vina El Pison,2012,4.6,159,Vino de Espana,Tempranillo,4,2,280
213,Vega Sicilia,Unico,1973,4.6,157,Ribera del Duero,Ribera Del Duero Red,5,3,932.3
214,Bodega Contador (Benjamin Romeo),Contador Rioja,2014,4.6,157,Rioja,Rioja Red,4,3,251.99
215,Bodegas San Roman,Cartago Paraje de Pozo,2014,4.6,153,Toro,Toro Red,5,3,61.69
216,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1996,4.6,150,Priorato,Priorat Red,4,3,1372.14
217,Bodega Numanthia,Termanthia,2014,4.6,147,Toro,Toro Red,5,3,210.5
218,Vega Sicilia,Valbuena 5o,1985,4.6,146,Ribera del Duero,Ribera Del Duero Red,5,3,285
219,Matarromera,Ribera del Duero Prestigio Pago de las Solanas,2001,4.6,145,Ribera del Duero,Ribera Del Duero Red,5,3,245.75
220,Vega Sicilia,Valbuena 5o,1989,4.6,143,Ribera del Duero,Ribera Del Duero Red,5,3,228.57
221,Bodega Contador (Benjamin Romeo),Contador Rioja,2015,4.6,143,Rioja,Rioja Red,4,3,319.9
222,Artadi,Vina El Pison,2005,4.6,142,Vino de Espana,Tempranillo,4,2,325
223,Nin-Ortiz,Nit de Nin Mas d'en Cacador,2011,4.6,139,Priorato,Priorat Red,4,3,345
224,Bodegas Mauro,VS,2018,4.6,136,Castilla y Leon,Tempranillo,4,2,58.9
225,Remirez de Ganuza,Maria Remirez de Ganuza,2005,4.6,136,Rioja,Rioja Red,4,3,159
226,Vinas del Vero,Blecua Somontano,2013,4.6,135,Somontano,Red,4,3,69.9
227,Vega Sicilia,Unico Reserva Especial Edicion,1989,4.6,133,Ribera del Duero,Ribera Del Duero Red,5,3,895.4
228,Teso La Monja,Alabaster,2017,4.6,131,Toro,Toro Red,5,3,147.85
229,Bodegas Mauro,Terreus Paraje de Cueva Baja,2018,4.6,128,Castilla y Leon,Tempranillo,4,2,88.05
230,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1997,4.6,127,Priorato,Priorat Red,4,3,1080
231,Marques de Riscal,Frank Gehry Selection,2001,4.6,124,Rioja,Tempranillo,4,2,301
232,Artadi,Vina El Pison,2014,4.6,124,Vino de Espana,Tempranillo,4,2,275
233,Vega Sicilia,Unico,1967,4.6,123,Ribera del Duero,Ribera Del Duero Red,5,3,1106.24
234,Arzuaga,Amaya Arzuaga (Coleccion),2016,4.6,123,Ribera del Duero,Ribera Del Duero Red,5,3,64.9
235,Dominio de Pingus,Pingus,2000,4.6,122,Ribera del Duero,Ribera Del Duero Red,5,3,1503
236,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1995,4.6,122,Priorato,Priorat Red,4,3,1372.14
237,Artadi,Vina El Pison,2015,4.6,122,Vino de Espana,Tempranillo,4,2,241.55
238,Bodegas Mas Alta,La Creu Alta,2013,4.6,116,Priorato,Priorat Red,4,3,89.17
239,Vega Sicilia,Unico,1975,4.6,115,Ribera del Duero,Ribera Del Duero Red,5,3,769.9
240,Dominio de Calogia,Tinto,2019,4.6,114,Ribera del Duero,Ribera Del Duero Red,5,3,67.94
241,Tomas Postigo,5o Ano Ribera del Duero Tinto,2016,4.6,113,Ribera del Duero,Ribera Del Duero Red,5,3,44
242,Artadi,Vina El Pison,2009,4.6,113,Vino de Espana,Tempranillo,4,2,445
243,Cal Pla,Planots Priorat,2010,4.6,112,Priorato,Priorat Red,4,3,87.02
244,Vega Sicilia,Unico Reserva Especial Edicion,2009,4.6,111,Ribera del Duero,Ribera Del Duero Red,5,3,747.17
245,Dominio del Bendito,El Titan del Bendito,2018,4.6,111,Toro,Toro Red,5,3,49.95
246,Ossian,Capitel,2018,4.6,107,Castilla y Leon,Verdejo,3,3,50.51
247,Arzuaga,Gran Arzuaga Ribera del Duero,2004,4.6,105,Ribera del Duero,Ribera Del Duero Red,5,3,157.4
248,Alto Moncayo,Aquilon Garnacha,2015,4.6,105,Campo de Borja,Grenache,5,3,120.9
249,Dominio de Pingus,Pingus,1996,4.6,102,Ribera del Duero,Ribera Del Duero Red,5,3,1746.94
250,Cepa 21,Horcajo,2015,4.6,100,Ribera del Duero,Ribera Del Duero Red,5,3,75.3
251,Carmelo Rodero,Pago De Valtarrena,2018,4.6,99,Ribera del Duero,Ribera Del Duero Red,5,3,47.5
252,Vega Sicilia,Unico,2012,4.6,98,Ribera del Duero,Ribera Del Duero Red,5,3,359.9
253,Bodegas Vilano,Tinto,2019,4.6,97,Ribera del Duero,Ribera Del Duero Red,5,3,43.5
